Mode,Cavity,Freqm,PMs,PMm,%Error,EMBm,EMBs,PPs,Ps,PMm,SD,Tolerance,%Tol/Mean,Mean+3SD,Mean-3SD,Max,Min,%Error,OOB,Size,Marki,5%
mode longMedium,0,30.000,1800.000,1774.000,-1.500,35.210,35.190,130.000,387.000,1.774,0.042,0.127,0.072,1.901,1.646,1.850,1.696,-1.500,0.000,100.000,120.000,0.000
mode longMedium,0,35.000,1800.000,1778.000,-1.200,35.590,35.560,130.000,373.000,1.778,0.047,0.141,0.079,1.919,1.637,1.877,1.661,-1.200,0.000,100.000,137.000,0.000
mode longMedium,0,40.000,1800.000,1786.000,-0.800,36.070,36.040,130.000,370.000,1.786,0.043,0.130,0.073,1.916,1.657,1.864,1.708,-0.800,0.000,100.000,158.000,0.000
mode longMedium,0,50.000,1800.000,1816.000,0.900,36.870,36.880,130.000,383.000,1.816,0.048,0.144,0.079,1.960,1.671,1.907,1.728,0.900,0.000,100.000,197.000,0.000
mode longMedium,0,5.000,2000.000,1955.000,-2.200,38.390,38.440,130.000,472.000,1.955,0.085,0.255,0.130,2.210,1.701,2.117,1.731,-2.200,0.000,100.000,22.000,0.000
mode longMedium,0,6.000,2000.000,1926.000,-3.700,38.130,38.080,130.000,431.000,1.926,0.062,0.187,0.097,2.113,1.739,2.038,1.676,-3.700,0.000,100.000,26.000,0.000
mode longMedium,0,8.000,2000.000,1939.000,-3.100,38.370,38.380,130.000,388.000,1.939,0.017,0.052,0.027,1.991,1.886,1.988,1.897,-3.100,0.000,100.000,34.000,0.000
mode longMedium,1,5.000,2000.000,1971.000,-1.400,38.430,38.440,130.000,472.000,1.971,0.040,0.119,0.060,2.090,1.852,2.083,1.874,-1.400,0.000,100.000,22.000,0.000
mode longMedium,1,6.000,2000.000,1942.000,-2.900,38.100,38.080,130.000,431.000,1.942,0.020,0.060,0.031,2.002,1.882,1.988,1.889,-2.900,0.000,100.000,26.000,0.000
mode longMedium,1,8.000,2000.000,1953.000,-2.400,38.390,38.380,130.000,388.000,1.953,0.016,0.049,0.025,2.002,1.904,2.001,1.912,-2.400,0.000,100.000,34.000,0.000
mode longMedium,2,5.000,2000.000,2036.000,1.800,38.420,38.440,130.000,472.000,2.036,0.034,0.101,0.050,2.137,1.935,2.142,1.956,1.800,0.000,100.000,22.000,0.000
mode longMedium,2,6.000,2000.000,1979.000,-1.000,38.100,38.080,130.000,431.000,1.979,0.016,0.049,0.025,2.028,1.930,2.006,1.939,-1.000,0.000,100.000,26.000,0.000
mode longMedium,2,8.000,2000.000,2034.000,1.700,38.390,38.380,130.000,388.000,2.034,0.019,0.056,0.028,2.091,1.978,2.075,1.979,1.700,0.000,100.000,34.000,0.000
mode longMedium,3,5.000,2000.000,2033.000,1.700,38.450,38.440,130.000,472.000,2.033,0.071,0.213,0.105,2.246,1.820,2.219,1.800,1.700,0.000,100.000,22.000,0.000
